dataset,model,fairness_level,group,selection_rate,tpr,fpr
german,DecisionTree,0.75,female,0.7666666666666667,0.75,0.8
german,DecisionTree,0.75,male,0.7142857142857143,0.79,0.525
german,DecisionTree,1.0,female,0.7166666666666667,0.7,0.75
german,DecisionTree,1.0,male,0.6714285714285714,0.74,0.5
german,RandomForest,0.0,female,0.7666666666666667,0.875,0.55
german,RandomForest,0.0,male,0.8214285714285714,0.9,0.625
german,RandomForest,0.25,female,0.8,0.9,0.6
german,RandomForest,0.25,male,0.8357142857142857,0.92,0.625
german,RandomForest,0.5,female,0.8166666666666667,0.9,0.65
german,RandomForest,0.5,male,0.8285714285714286,0.9,0.65
german,RandomForest,0.75,female,0.8,0.9,0.6
german,RandomForest,0.75,male,0.8214285714285714,0.89,0.65
german,RandomForest,1.0,female,0.7833333333333333,0.875,0.6
german,RandomForest,1.0,male,0.8142857142857143,0.91,0.575
german,GradientBoosting,0.0,female,0.6666666666666666,0.8,0.4
german,GradientBoosting,0.0,male,0.7571428571428571,0.87,0.475
german,GradientBoosting,0.25,female,0.7333333333333333,0.875,0.45
german,GradientBoosting,0.25,male,0.7285714285714285,0.84,0.45
german,GradientBoosting,0.5,female,0.7,0.85,0.4
german,GradientBoosting,0.5,male,0.7285714285714285,0.86,0.4
german,GradientBoosting,0.75,female,0.7166666666666667,0.825,0.5
german,GradientBoosting,0.75,male,0.7571428571428571,0.87,0.475
german,GradientBoosting,1.0,female,0.7,0.8,0.5
german,GradientBoosting,1.0,male,0.7214285714285714,0.85,0.4
german,EBM,0.0,female,0.6833333333333333,0.75,0.55
german,EBM,0.0,male,0.7428571428571429,0.83,0.525
german,EBM,0.25,female,0.7333333333333333,0.825,0.55
german,EBM,0.25,male,0.7071428571428572,0.8,0.475
german,EBM,0.5,female,0.7333333333333333,0.825,0.55
german,EBM,0.5,male,0.7,0.79,0.475
german,EBM,0.75,female,0.75,0.825,0.6
german,EBM,0.75,male,0.7142857142857143,0.8,0.5
german,EBM,1.0,female,0.75,0.85,0.55
german,EBM,1.0,male,0.7,0.8,0.45
german,XGBoost,0.0,female,0.6833333333333333,0.825,0.4
german,XGBoost,0.0,male,0.7785714285714286,0.88,0.525
german,XGBoost,0.25,female,0.7166666666666667,0.85,0.45
german,XGBoost,0.25,male,0.7357142857142858,0.85,0.45
german,XGBoost,0.5,female,0.7,0.85,0.4
german,XGBoost,0.5,male,0.7285714285714285,0.85,0.425
german,XGBoost,0.75,female,0.7,0.825,0.45
german,XGBoost,0.75,male,0.7,0.79,0.475
german,XGBoost,1.0,female,0.75,0.85,0.55
german,XGBoost,1.0,male,0.7214285714285714,0.81,0.5
gmsc,LogisticRegression,0.0,older,0.002445944623813717,0.02982107355864811,0.0010290183165260341
gmsc,LogisticRegression,0.0,younger,0.011299435028248588,0.062062062062062065,0.005374459633134712
gmsc,LogisticRegression,0.25,older,0.002445944623813717,0.02982107355864811,0.0010290183165260341
gmsc,LogisticRegression,0.25,younger,0.01098556183301946,0.06006006006006006,0.005257623554153523
gmsc,LogisticRegression,0.5,older,0.0023970257313374425,0.02982107355864811,0.0009775674006997324
gmsc,LogisticRegression,0.5,younger,0.01098556183301946,0.06006006006006006,0.005257623554153523
gmsc,LogisticRegression,0.75,older,0.002445944623813717,0.02982107355864811,0.0010290183165260341
gmsc,LogisticRegression,0.75,younger,0.01098556183301946,0.06006006006006006,0.005257623554153523
gmsc,LogisticRegression,1.0,older,0.002445944623813717,0.02982107355864811,0.0010290183165260341
gmsc,LogisticRegression,1.0,younger,0.01098556183301946,0.06006006006006006,0.005257623554153523
gmsc,DecisionTree,0.0,older,0.05571861853047647,0.2524850894632207,0.045534060506277015
gmsc,DecisionTree,0.0,younger,0.10567064239380623,0.3113113113113113,0.08166841920785138
gmsc,DecisionTree,0.25,older,0.05395753840133059,0.24055666003976142,0.044299238526445774
gmsc,DecisionTree,0.25,younger,0.07794517681523332,0.22622622622622623,0.060637924991237296
gmsc,DecisionTree,0.5,older,0.054153213971235695,0.2415506958250497,0.044453591273924675
gmsc,DecisionTree,0.5,younger,0.07972379158819837,0.24524524524524524,0.06040425283327491
gmsc,DecisionTree,0.75,older,0.0537618628314255,0.23757455268389663,0.04424778761061947
gmsc,DecisionTree,0.75,younger,0.07689893283113622,0.22722722722722724,0.05935272812244421
gmsc,DecisionTree,1.0,older,0.053223755014186476,0.23757455268389663,0.04368182753653015
gmsc,DecisionTree,1.0,younger,0.07459719606612263,0.23023023023023023,0.05643182614791448
gmsc,RandomForest,0.0,older,0.0129635065062127,0.1540755467196819,0.005659600740893188
gmsc,RandomForest,0.0,younger,0.0389202762084118,0.2132132132132132,0.018576936558009113
gmsc,RandomForest,0.25,older,0.012229723119068584,0.1411530815109344,0.005556698909240584
gmsc,RandomForest,0.25,younger,0.03295668549905838,0.17317317317317318,0.016590723215328895
gmsc,RandomForest,0.5,older,0.012082966441639762,0.13817097415506957,0.005556698909240584
