dataset,model,fairness_level,cv_mean_accuracy,cv_std_accuracy,cv_ci_accuracy_low,cv_ci_accuracy_high,cv_mean_auc,cv_std_auc,cv_ci_auc_low,cv_ci_auc_high,cv_mean_f1,cv_std_f1,cv_ci_f1_low,cv_ci_f1_high,test_accuracy,auc,f1,dp_diff,eo_diff,disparate_impact
australian,LogisticRegression,0.0,0.8623095823095822,0.010092569390240119,0.8534630551896917,0.8711561094294727,0.9368900592495063,0.018428256181329945,0.9207369805064384,0.9530431379925742,0.8479124698184105,0.011431639269996364,0.8378921961976391,0.8579327434391819,0.8333333333333334,0.9139876516925697,0.8321167883211679,0.025353773584905648,0.07999999999999996,0.8888888888888888
australian,LogisticRegression,0.25,0.8713841113841114,0.013372254525778485,0.85966281349234,0.8831054092758829,0.8666919565287776,0.016565518710310277,0.8521716391686086,0.8812122738889466,0.8577142857142857,0.014487208737121135,0.8450156873664364,0.8704128840621349,0.8333333333333334,0.8373429848839684,0.8321167883211679,0.025353773584905648,0.07999999999999996,0.8888888888888888
australian,LogisticRegression,0.5,0.8695495495495494,0.010583094230925814,0.8602730584493962,0.8788260406497027,0.8728144055083694,0.013698839533159694,0.8608068432360388,0.8848219677807,0.8558246904215171,0.013088719229351406,0.8443519221749036,0.8672974586681306,0.8333333333333334,0.8585267191824569,0.8321167883211679,0.025353773584905648,0.07999999999999996,0.8888888888888888
australian,LogisticRegression,0.75,0.8713841113841114,0.013372254525778485,0.85966281349234,0.8831054092758829,0.8670934285930132,0.016038805610829574,0.853034795620515,0.8811520615655114,0.8582857142857143,0.014515355439104176,0.8455624442657863,0.8710089843056423,0.8333333333333334,0.8585267191824569,0.8321167883211679,0.025353773584905648,0.07999999999999996,0.8888888888888888
australian,LogisticRegression,1.0,0.8677477477477478,0.010428585415466422,0.8586066895956747,0.8768888058998209,0.8687735891818388,0.012512819991156613,0.8578056188743846,0.879741559489293,0.8536683561897112,0.011372564403388755,0.8436998639725983,0.863636848406824,0.8333333333333334,0.843836491377475,0.8321167883211679,0.06603773584905659,0.07999999999999996,0.8888888888888888
australian,DecisionTree,0.0,0.8333988533988533,0.028555212602106767,0.8083691059746677,0.858428600823039,0.8289786637023926,0.028552998255119543,0.8039508572389196,0.8540064701658656,0.8084759055969469,0.03153212671901257,0.7808367778999579,0.836115033293936,0.7681159420289855,0.7700659995741963,0.75,0.0625,0.038181818181818206,0.9333333333333332
australian,DecisionTree,0.25,0.8224897624897626,0.021489885453461397,0.8036530473663341,0.841326477613191,0.824495558985096,0.027472170241467798,0.8004151400465433,0.8485759779236486,0.795288823384789,0.020856886482075634,0.7770069563234053,0.8135706904461727,0.7608695652173914,0.7700659995741963,0.7401574803149606,0.05306603773584906,0.05818181818181822,0.9333333333333332
australian,DecisionTree,0.5,0.8206552006552006,0.014764906241886347,0.8077131897121992,0.833597211598202,0.8208153983962703,0.018687596656213393,0.804434997704189,0.8371957990883515,0.7908732120525845,0.013563752896138433,0.7789840584383206,0.8027623656668484,0.7608695652173914,0.7700659995741963,0.736,0.11556603773584906,0.14363636363636367,0.8571428571428571
australian,DecisionTree,0.75,0.818886158886159,0.025890505921165843,0.7961921298512167,0.8415801879211013,0.8228970310493313,0.029691627632420396,0.7968711719318397,0.848922890166823,0.7912189162949597,0.024516338296199803,0.7697293982910035,0.8127084342989158,0.7681159420289855,0.7553757717692143,0.75,0.10318396226415094,0.07272727272727275,0.9333333333333332
australian,DecisionTree,1.0,0.8207043407043407,0.021050503875061594,0.8022527605152386,0.8391559208934428,0.8212024951704638,0.014500002186636428,0.8084926828696837,0.833912307471244,0.7917874880792869,0.021823719120244264,0.7726581548451935,0.8109168213133803,0.7681159420289855,0.7864594421971471,0.7538461538461538,0.12205188679245282,0.09272727272727266,0.9642857142857143
australian,RandomForest,0.0,0.8841277641277641,0.02472863085548323,0.8624521634910872,0.9058033647644409,0.9332440885396993,0.02152708022462779,0.9143747707618706,0.952113406317528,0.8709447448915707,0.02457889851020173,0.849400390442266,0.8924890993408754,0.8115942028985508,0.9226101767085374,0.8059701492537313,0.002948113207547176,0.14,0.8888888888888888
